Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End,GPA
37,21,Male,1st Year,6,8.8,4,5,117,4,6:47:24,6:31:48,5.99,8.91,3.35551343
38,18,Male,4th Year,6.8,1.6,3.8,0,53,1,6:20:24,21:07:12,8.47,10.07,4.148668655
39,18,Female,2nd Year,4.8,8.6,1.1,0,9,9,10:16:48,8:07:48,5.66,9.51,2.47274008
40,20,Other,1st Year,4.9,10.9,1.5,3,52,8,9:43:12,9:02:24,6.66,9.53,2.468043739
41,20,Male,2nd Year,8.3,2.2,1.4,2,43,2,19:11:24,17:22:12,5.06,8.8,3.051769626
42,24,Male,3rd Year,8.7,2.9,3.2,3,46,8,12:40:48,8:22:12,6.91,9.12,2.922369725
43,19,Male,3rd Year,5.9,11.7,3.5,5,52,7,12:31:48,3:12:00,5.08,9.98,3.031123196
44,25,Female,1st Year,5.4,2.2,1.6,2,73,6,1:52:12,21:03:36,8.28,10.3,2.726688109
45,21,Female,1st Year,7.2,10.3,2.5,4,45,1,12:57:00,15:36:36,8.3,9.79,3.098880775
46,21,Other,2nd Year,6,5.9,3.5,1,12,7,10:27:36,13:14:24,8.15,10.7,2.974313311
47,25,Other,4th Year,4.1,3,3.2,4,36,10,10:48:00,4:00:36,6.13,10.28,2.620129921
48,24,Other,2nd Year,4.8,10.4,2.6,5,101,7,8:37:48,2:45:00,8.35,9.25,2.344197147
49,23,Female,1st Year,7.6,5.3,2.8,2,23,9,17:24.0,13:07:12,7.17,9.69,2.343171723
50,23,Female,2nd Year,7.3,6.2,2.5,5,1,1,17:16:12,7:00:00,6.5,10.71,3.359878674
51,24,Other,1st Year,4.1,4.3,1.9,1,85,2,10:54:00,11:22:12,7.5,9.48,2.459911564
52,23,Other,2nd Year,5.1,7.1,2.7,0,80,9,4:39:36,11:14:24,5.05,10.3,2.100486617
53,20,Female,1st Year,5.2,2,3.1,0,99,9,12:16:12,16:26:24,5.57,9.76,2.065437326
54,21,Other,1st Year,7.4,4.7,3.6,5,13,6,16:09:00,17:39:36,7.97,9.21,2.9295171
55,24,Male,1st Year,4.1,11.6,2.9,3,9,6,8:15:00,16:14:24,5.98,7.97,2.872413932
56,21,Female,4th Year,4.5,3.1,3.3,2,34,4,4:42:00,10:52:12,7.39,8.7,2.628472888
57,25,Other,2nd Year,8,7.9,1.5,2,24,4,20:40:12,21:25:12,6.54,10.87,3.294119525
58,18,Female,2nd Year,4.9,3.9,2.4,0,2,5,5:41:24,3:51:36,8.42,9.63,2.741885002
59,20,Male,2nd Year,7.3,9.3,1,4,110,3,4:45:00,18:52:12,8.81,9.26,3.628621982
60,22,Female,1st Year,5.2,1.6,1.7,1,101,1,12:18:36,17:36:00,8.53,10.73,2.657156784
61,20,Female,2nd Year,4.5,11.6,3.2,4,16,1,1:21:00,11:37:48,6.08,9.35,2.495692513
62,24,Female,2nd Year,5.2,5.4,4,4,11,7,5:28:48,7:48:00,5.78,9.1,2.466378296
63,22,Female,1st Year,7.6,2.8,1.3,5,53,1,5:45:00,20:05:24,6.9,10.04,3.446271202
64,18,Male,3rd Year,8.3,0.9,2.2,0,115,1,6:18:00,15:39:00,5.03,9.85,3.200519452
65,24,Female,1st Year,8.2,2,3.4,0,23,3,18:50:24,2:37:48,5.1,7.77,3.293426367
66,19,Female,2nd Year,6,6.2,1.6,0,28,10,17:26:24,16:45:00,7.21,8.89,3.044020085
67,21,Other,1st Year,7.3,4,2.7,5,42,4,12:15:36,15:44:24,7.08,8.89,3.441953422
68,18,Female,3rd Year,5,9.9,3.2,3,24,4,16:27:36,5:16:12,8.98,8.51,2.675134377
69,21,Other,1st Year,5.5,5.2,2.8,4,99,2,13:16:48,21:00:00,5.81,9.07,3.046527337
70,23,Male,2nd Year,8.5,3,1.6,5,59,1,3:20:24,12:42:36,6.03,8.65,3.174324466
71,19,Male,3rd Year,4.1,7.4,2.1,2,89,3,4:41:24,14:24:36,5.45,7.8,2.165633518
72,19,Male,4th Year,4.4,8.5,3.4,1,101,4,8:46:12,15:40:12,8.67,8.65,2.228016887
73,18,Male,2nd Year,5,2,2.7,3,64,3,3:58:48,17:24.0,8.11,7.29,2.606798201
74,19,Other,3rd Year,4.1,2,1,2,83,8,5:32:24,20:10:12,8.29,9.3,2.609288765
75,22,Female,3rd Year,4.9,0.4,3.3,4,118,10,12:59:24,15:42:00,8.61,10.41,2.161260469
76,19,Male,4th Year,6.9,8.8,1.1,0,27,1,17:46:48,21:08:24,7.1,9.9,2.489922119
77,21,Female,1st Year,6.1,8,3.2,4,15,2,11:12:00,6:22:48,6.8,8.44,3.174963263
78,21,Other,1st Year,8.5,5.7,1.6,5,46,7,6:32:24,14:02:24,6.32,7.35,2.992937281
79,24,Other,2nd Year,8.1,10.1,3.9,1,80,4,12:50:24,13:07:12,7.36,7.81,3.121649791
80,21,Other,4th Year,5.7,9.7,2.1,5,103,8,8:00:00,4:07:48,6.82,9.18,2.436286655
81,24,Male,1st Year,5.3,7,2,3,91,3,20:01:12,8:50:24,6.81,7.83,2.926987989
82,21,Female,4th Year,5.9,10.4,1.4,3,57,6,17:24.0,21:50:24,8.75,9.18,2.250196017
83,22,Female,1st Year,7,2.5,1.9,1,75,9,4:55:48,3:08:24,8.94,7.93,3.489028219
84,25,Female,3rd Year,5.3,1.3,3.6,2,26,1,7:09:36,17:15:36,8.19,10.4,2.213892054
85,24,Other,1st Year,7.1,3.2,4,2,117,1,1:41:24,19:51:00,8.03,8.59,3.136402731
86,20,Male,4th Year,6,0.7,2.1,3,52,8,4:38:24,6:38:24,7.72,7.98,2.828552653
87,23,Other,3rd Year,6.8,6.4,2.3,3,41,3,3:02:24,11:59:24,5.66,10.25,3.27077663
88,18,Other,3rd Year,6.2,11.2,3.2,0,58,5,2:24:00,13:19:12,5.24,8.37,3.335649468
89,21,Female,3rd Year,5.5,0.5,3.7,2,46,1,5:10:12,17:00:36,7.76,7.45,2.821675333
90,19,Other,4th Year,8.7,1.5,2.8,1,93,5,7:50:24,11:03:00,7.92,9.28,3.301441432
91,25,Female,2nd Year,7.8,5.4,2.2,2,104,6,21:52:48,16:30:36,5.19,9.33,3.342570315
92,21,Male,2nd Year,4.7,11.2,2.2,0,33,8,12:13:12,3:58:12,8.71,9.86,2.645092502
93,19,Female,2nd Year,8.3,3.8,3.1,5,36,3,10:00:36,17:42:00,5.36,7.96,3.250537622
94,23,Male,4th Year,6.4,6.1,1,3,5,3,15:37:12,4:18:36,6.14,8.78,3.477498192
95,23,Female,3rd Year,8.5,0.5,2.9,3,6,10,15:19:12,10:48:36,7.69,8.13,3.074722004
96,23,Other,2nd Year,8,1.8,2.1,0,95,9,1:49:12,5:25:48,5.68,7.32,3.134454009
97,19,Other,4th Year,6.1,11.8,3.4,1,95,4,3:16:12,7:44:24,5.22,10.51,2.437932653
98,21,Male,2nd Year,4.1,11.6,1.3,3,116,4,4:10:12,8:04:12,6.32,9.92,2.137201431
99,23,Male,1st Year,5.3,0.1,2.8,4,24,7,13:28:12,15:30:36,8.06,8.21,2.261236256
100,22,Male,2nd Year,6.7,11.4,2.4,3,32,2,21:42:36,17:19:12,6.65,9.4,3.660740708
101,24,Female,2nd Year,7.2,7.7,2.9,4,54,8,20:19:12,17:46:48,7.61,7.81,3.222501443
102,19,Female,3rd Year,5.3,10.4,1.2,0,57,6,15:26:24,4:51:36,7.32,10.56,1.696222503
103,19,Male,4th Year,4.7,5.5,2.7,0,6,3,21:40:12,5:35:24,5.09,7.46,2.527053451
104,21,Other,3rd Year,8.2,6.2,2.7,3,115,9,21:38:24,13:11:24,8.95,7.02,3.195262578
105,19,Female,3rd Year,8.9,5.9,2.7,2,56,5,2:45:00,19:21:00,5.17,9.01,3.36858483
106,19,Female,3rd Year,6.6,8,2.8,4,11,8,7:10:12,14:21:00,8.87,9.33,3.425041683
107,23,Female,3rd Year,4.9,1.7,3,1,15,7,15:30:36,9:36:36,7.2,9.32,2.567792367
108,21,Male,3rd Year,5.4,0.4,3.4,3,79,8,19:12:36,12:54:36,8.85,7.22,2.187621573
109,23,Male,2nd Year,4.1,3.7,1.8,1,42,7,11:15:36,6:24:00,5.46,8.26,2.503803602
110,24,Male,3rd Year,8.6,8.5,3.5,3,116,3,21:53:24,2:03:00,6.96,9,3.159941151
111,25,Male,3rd Year,4.6,2.4,2.5,2,99,2,17:24.0,18:10:48,5.68,7.87,2.115026974
112,24,Male,4th Year,6.9,8.1,1.2,2,76,7,17:24.0,12:48:36,5.2,10.49,3.414047505
113,25,Other,1st Year,5.4,11.6,1.2,2,6,3,13:33:00,13:22:48,7.47,7.35,3.048276363
114,23,Other,2nd Year,6.8,1.1,2,5,99,3,13:48:00,15:54:36,5.83,8.95,3.230434409
115,24,Male,2nd Year,7.3,8.1,3.4,2,110,2,20:32:24,18:02:24,7.35,9.77,3.181255884
116,21,Female,2nd Year,8.1,5.3,3.1,0,50,4,8:36:00,20:41:24,5.45,8.05,2.885122616
117,18,Male,3rd Year,5,10.4,3.4,0,72,8,6:36:36,4:15:36,6.33,9.5,2.641333268
118,23,Other,3rd Year,4.1,2.1,2.6,5,31,1,7:48:00,13:36:00,8.13,10.32,2.278098852
119,25,Other,3rd Year,4.7,8.3,2.3,4,74,1,19:05:24,12:03:36,6.75,7.76,2.116855921
120,22,Female,4th Year,8.5,10.1,1.4,1,7,5,9:50:24,3:39:36,7.51,10.67,3.35244936
121,25,Other,1st Year,8.4,11.3,2,3,96,5,10:02:24,6:28:12,7.59,9.21,3.181675378
122,22,Male,3rd Year,7,8.2,2.3,3,86,1,3:45:36,19:23:24,8.38,8.2,3.140062396
123,19,Female,1st Year,7,6,1.3,5,88,6,14:02:24,10:41:24,6.3,8.72,3.280512873
124,24,Male,4th Year,7.3,7.4,1.7,0,119,1,14:12:00,13:09:00,7.75,8.25,3.793840451
125,22,Male,2nd Year,4.9,10.4,2.8,3,71,5,9:00:36,6:03:36,8.85,9.9,3.991966751
126,25,Female,3rd Year,8.6,6.8,3.2,0,44,9,8:42:36,7:31:12,7.92,10.19,3.342184589
127,19,Male,1st Year,6.1,0.4,4,4,85,5,12:09:00,8:11:24,6.96,10.33,3.982269808
128,18,Other,1st Year,5.9,11.2,3.8,1,58,6,12:42:00,15:11:24,7.52,10.94,2.836580139
129,21,Male,3rd Year,6.6,8.3,2.9,4,3,8,11:37:12,5:54:00,7.96,10.17,3.005319689
130,21,Female,2nd Year,4.2,8.1,2.3,5,103,1,3:55:12,20:57:00,7.45,9.41,2.370203989
131,21,Female,2nd Year,4.8,2.6,2.9,2,66,2,12:19:12,18:48:36,5.07,8.36,2.347560995
132,22,Female,2nd Year,7.7,7.9,3.4,2,28,9,2:15:36,17:24.0,5.78,9.18,3.318971135
133,18,Male,4th Year,4.4,4.7,1.4,2,104,3,11:25:12,20:27:36,8.24,7.16,3.091070602
134,22,Female,1st Year,7,7.8,2.2,4,28,6,2:04:12,17:18:00,6.09,9.98,3.158136297
135,24,Female,1st Year,5.2,1.3,3.5,3,97,5,4:30:36,5:24:00,7.93,8.78,1.732148301
136,22,Male,1st Year,5.9,7.9,2.2,1,97,2,14:23:24,3:01:48,6.49,7.08,3.059732615
137,18,Other,4th Year,5.4,12,2.7,2,27,7,3:51:36,15:54:36,7.09,7.25,2.176972887
138,18,Male,1st Year,5.8,0.6,2.8,5,76,4,19:41:24,16:42:36,5.27,8.55,2.131491634
139,24,Female,4th Year,7.6,11.7,1.6,5,78,1,34:12.0,16:24:00,5.72,9.33,3.621708374
140,18,Female,2nd Year,5.5,4.9,2.1,2,86,4,8:44:24,16:27:00,8.83,8.86,3.147079842
141,25,Male,3rd Year,6.8,10.4,2,2,43,6,20:51:36,21:16:48,8.56,9.48,4.016434578
142,18,Other,1st Year,6.4,9.4,1.1,1,89,7,8:28:12,3:27:36,7.61,8.92,2.74267069
143,21,Female,1st Year,7.3,6.8,1.1,2,3,7,1:32:24,17:43:48,6.84,9.65,2.679457132
144,25,Female,2nd Year,8.7,8.9,3.5,1,89,7,20:31:48,13:36:00,7.7,7.88,3.042570762
145,25,Female,3rd Year,7.7,10.5,1.8,5,103,3,10:21:00,21:48:36,7.47,7.45,3.630574305
146,24,Male,4th Year,5.1,4.8,2.6,2,8,6,6:18:00,4:50:24,7.27,9.39,2.317435284
147,20,Female,3rd Year,4.2,3.9,1.9,4,118,8,4:58:48,7:22:48,5.24,8.94,2.790640284
148,20,Other,2nd Year,5.3,8,3.8,4,4,4,13:18:36,3:03:36,7.53,7.11,1.966294614
149,18,Female,2nd Year,7,9.7,1.8,5,55,8,17:42:36,6:22:12,8.08,8.52,3.818212768
150,25,Female,3rd Year,4.3,9.1,2.3,1,95,2,21:06:36,15:43:48,8.98,7.42,2.926804514
151,20,Other,4th Year,6.5,9.6,3.6,4,83,10,9:49:48,17:02:24,5.04,9.13,3.555033332
152,20,Female,4th Year,7,5.2,3.5,1,49,9,12:29:24,8:03:00,7.92,8.58,3.476320375
153,18,Male,1st Year,5.7,9.8,1.6,4,74,9,2:04:48,14:43:12,7.29,9.45,1.565936867
154,20,Male,4th Year,7.9,1.4,3.4,4,14,8,20:43:48,10:40:48,6.74,10.22,2.801454431
155,22,Male,3rd Year,4.5,6.5,2.4,1,31,10,7:36:36,21:52:12,5.51,8.2,2.941559984
156,19,Other,2nd Year,4.4,0.1,2.4,3,27,10,21:28:48,20:45:36,6.64,10.85,3.017742453
157,24,Female,1st Year,7.6,3.9,1.4,4,21,1,18:24:00,17:24.0,6.42,9.14,3.585629238
158,19,Male,1st Year,6.5,4.4,1.2,2,104,2,12:28:12,10:40:48,6.21,9.47,4.046071393
159,18,Other,2nd Year,7.4,4.8,3.2,5,16,6,12:27:00,6:58:12,7.92,9.72,2.644230396
160,21,Female,4th Year,6.2,8.3,2.5,3,58,10,7:36:00,19:21:36,7.8,9.67,3.388442657
161,24,Other,2nd Year,5.2,4.7,2.3,1,89,5,2:53:24,11:44:24,7.36,9.04,3.057416052
162,18,Male,4th Year,8.1,5.4,3.2,3,107,9,34:48.0,18:06:36,8.75,8.72,2.858966708
163,25,Male,2nd Year,8,2.9,3.3,0,70,5,1:58:48,20:08:24,6.4,7.22,2.897902999
164,21,Male,3rd Year,7.5,4.5,1.5,0,105,2,3:29:24,13:47:24,5.98,7.09,3.133751746
165,19,Other,4th Year,5.4,2.7,2.8,4,56,10,9:43:48,18:43:48,7.62,8.43,2.098450815
166,18,Other,3rd Year,7,0.9,1.4,4,25,4,4:29:24,17:33:36,5.8,8.33,3.655575062
167,25,Male,1st Year,5.8,7.2,3.3,2,24,9,8:30:36,15:39:00,6.26,8.55,3.504857802
168,24,Other,2nd Year,4.5,8,3,5,9,1,20:21:00,16:48:36,5.9,7.55,2.692722416
169,24,Male,1st Year,8.6,7.4,3.9,3,44,1,6:27:00,20:15:00,5.28,9.95,3.534247556
170,23,Male,1st Year,4.7,5.6,1.2,0,82,7,20:00:36,20:12:00,8.31,10.43,2.885295836
171,25,Female,1st Year,8.8,4.6,1.2,4,10,3,9:31:12,18:08:24,6.02,10.75,2.906783284
172,22,Other,1st Year,6.2,10.4,1.8,5,76,10,7:14:24,20:59:24,6.89,8.97,3.028074343
173,20,Male,2nd Year,4.9,6.2,1.8,3,52,2,20:36:00,9:28:12,5.17,9.8,2.585191565
174,21,Male,1st Year,6.7,5.8,1.7,4,71,9,17:09:00,16:15:00,7.8,10.42,2.99170549
175,25,Other,2nd Year,8.4,0.3,3.7,4,103,3,2:46:12,16:24:36,6.32,8.67,3.232423778
176,23,Female,2nd Year,7.7,4.1,1.7,0,67,2,9:03:36,15:21:36,7.98,8.24,3.381389309
177,20,Female,3rd Year,8,4.6,1.8,0,110,8,16:49:48,8:44:24,6.65,10.75,3.284155649
178,20,Male,4th Year,7.3,4.8,3.3,4,94,10,7:30:00,4:35:24,5.78,9.06,3.287678966
179,18,Other,4th Year,7.5,7,2.3,1,27,6,9:28:12,6:49:12,7.05,8.99,2.558873899
180,20,Female,2nd Year,8.2,6.4,3.3,4,74,6,11:28:12,7:27:00,5.52,7.71,3.134999032
181,22,Other,3rd Year,5.2,7.3,1.2,5,106,10,1:30:00,12:18:36,6.76,7.43,2.671960398
182,24,Other,2nd Year,6.4,9.2,2.5,4,64,7,7:39:00,8:07:12,6.27,10.37,3.22702991
183,23,Male,2nd Year,5.1,9.8,1.1,2,48,7,14:07:12,10:56:24,8.65,9.46,2.093171657
184,20,Female,2nd Year,8.9,8.6,1.2,2,46,6,5:12:00,17:40:12,5.24,8.3,2.948905288
185,18,Male,3rd Year,8.7,11.5,3.7,2,51,4,3:25:12,17:49:48,7.78,7.77,2.934844256
186,22,Female,4th Year,4.2,0.2,1.4,1,101,9,19:22:12,16:04:12,5.73,9.22,2.788220053
187,19,Female,3rd Year,7.5,2.3,2.6,1,87,6,17:47:24,3:46:48,6.28,9.34,4.434794897
188,24,Female,1st Year,8.6,0.1,2.2,4,53,4,17:27:36,11:03:00,6.66,7.83,3.247206731
189,24,Female,3rd Year,4.9,7.8,2,2,59,3,7:28:48,7:19:12,8.63,10.41,3.035610698
190,23,Female,3rd Year,6.8,10.8,3.7,1,56,4,9:20:24,15:04:12,5.97,7.34,3.658831026
191,24,Other,3rd Year,8.6,2.9,1.1,0,46,3,9:00:00,13:51:00,5.37,8.42,3.212635703
192,20,Male,3rd Year,4.2,11.1,3,4,30,2,2:14:24,19:29:24,6.27,9.72,2.676071938
193,18,Other,4th Year,7.5,0.7,3.9,5,104,5,5:42:36,34:12.0,5.42,8.1,2.774096196
194,24,Female,1st Year,5.5,11.2,2.7,3,45,2,19:18:36,5:27:00,5.51,10.31,2.788300867
195,24,Male,4th Year,8.6,4.2,3.8,4,113,6,14:42:00,10:18:00,7.3,9.96,3.314050455
196,19,Female,4th Year,8.9,1.2,1.2,3,25,3,12:51:36,15:15:00,5.24,10.16,3.122003142
197,19,Male,3rd Year,8.7,5.8,2.3,2,112,6,13:40:48,5:56:24,5.12,7.48,2.985935011
198,21,Other,2nd Year,6.4,3.1,1.8,3,113,10,7:56:24,17:04:12,7.86,7.56,3.456986118
199,22,Male,2nd Year,8.3,3.4,3.2,2,4,9,3:16:12,2:28:48,6.45,8.15,2.700920118
200,20,Male,4th Year,8.2,3.7,3.9,0,83,1,34:12.0,15:06:00,5.5,9.07,3.464329561
201,24,Male,4th Year,5.6,9.6,1.8,3,51,6,10:24:36,15:15:00,6.01,9.99,1.846434117
202,25,Male,3rd Year,8.1,6.5,3,4,104,9,5:25:12,15:45:36,7.57,10.35,3.225712227
203,24,Male,4th Year,4.2,3.7,1.6,2,74,4,13:15:36,19:33:36,6.1,9.82,3.235729196
204,18,Female,3rd Year,7,7.3,2.7,4,119,2,18:28:12,19:46:48,6.98,10.71,1.973372107
205,21,Male,2nd Year,5.2,8.6,2.4,1,53,4,12:01:48,9:02:24,5.49,9.95,1.949994369
206,22,Male,2nd Year,4.6,3.3,3.9,2,32,1,20:50:24,4:30:00,7.35,8.23,2.609600844
207,25,Other,1st Year,4.4,5,2.8,3,49,3,2:12:36,6:11:24,6.26,8.06,3.103818449
208,21,Male,2nd Year,7.5,1.5,2,2,37,10,20:25:48,19:10:48,7.51,9.78,2.913678911
209,23,Other,4th Year,5.7,2.2,1.3,4,26,9,12:47:24,11:05:24,8.23,7.77,3.106975013
210,22,Female,2nd Year,7.6,8.2,1.5,0,97,10,10:52:12,19:53:24,7.45,7.37,3.419217033
211,24,Male,3rd Year,4.3,2.2,1.7,2,14,5,1:18:36,21:05:24,6.18,9.13,2.211526952
212,24,Other,2nd Year,5.6,6.3,1.8,3,95,6,18:30:36,8:52:12,6.02,10.29,2.205040003
213,22,Other,1st Year,6.7,8.5,3.6,1,60,3,19:36:00,11:18:00,6.31,7.41,2.694271187
214,24,Female,2nd Year,8,1.3,2.7,5,20,5,21:49:12,20:21:36,5.66,10.17,2.930768064
215,20,Male,3rd Year,5.6,6.8,2.6,0,45,8,18:43:48,21:18:00,5.72,10.25,2.706651529
216,22,Male,3rd Year,7.1,3.1,1.3,1,68,6,17:39:00,2:12:00,8.16,8.93,3.387258734
217,21,Other,4th Year,8.4,11.6,3.6,2,5,4,8:45:36,21:24:00,6.54,7.23,3.321709757
218,22,Male,2nd Year,7.1,5.8,3.2,4,37,2,17:23:24,13:06:36,6.74,7.7,2.56456074
219,25,Other,3rd Year,5.2,9.7,1.2,4,61,9,34:12.0,11:54:36,7.38,9.83,1.677330773
220,24,Male,1st Year,4.1,6.6,3.1,3,85,1,4:38:24,19:39:00,7.36,9.85,2.144081456
221,20,Other,4th Year,8.4,0.5,2.6,4,61,1,14:19:12,18:37:12,5.27,10.59,2.810024674
222,20,Male,1st Year,4.1,7.6,1.2,0,81,4,34:12.0,14:57:36,8.33,9.33,1.554181363
223,23,Female,2nd Year,8.4,11.4,2.4,4,77,7,15:39:00,6:46:12,5.71,7.5,3.048245944
224,21,Male,2nd Year,6.6,7.2,2.5,3,73,1,1:31:12,11:51:36,7.89,7.49,3.882837332
225,19,Male,2nd Year,8.7,9.8,1.5,5,45,9,18:25:48,9:14:24,8.09,9.88,3.068937146
226,19,Female,4th Year,8,10.6,3.8,2,12,4,3:08:24,2:18:00,7.86,7.74,3.424152621
227,22,Male,3rd Year,9,2.7,3.5,2,94,3,5:41:24,6:38:24,7.32,8.31,2.933922096
228,23,Female,4th Year,5.8,2.5,3,4,93,1,20:23:24,13:18:36,5.06,8.95,1.687092669
229,18,Male,1st Year,7.8,7.3,2.4,1,2,10,1:16:48,13:04:12,6.44,7.1,3.480748531
230,22,Other,4th Year,6,4.9,2.2,2,93,4,16:18:00,9:37:12,7.42,8,3.318969204
231,23,Other,1st Year,6.4,10.1,3,5,5,9,19:55:48,8:41:24,6.55,8.63,3.291936877
232,21,Male,4th Year,7.1,10.8,2.6,4,92,10,34:48.0,11:59:24,8.45,8.12,3.690028479
233,21,Male,3rd Year,8.4,4.2,1.2,3,7,6,7:09:36,9:06:00,6.24,7.55,3.323819846
234,21,Male,1st Year,8.9,2.8,2.5,5,43,6,9:02:24,21:31:48,6.17,9.91,3.336069772
235,21,Other,2nd Year,7.8,9.4,3.4,4,108,1,18:43:12,13:24:36,6.06,10.25,3.706314695
236,21,Male,2nd Year,6.1,3.3,2.4,5,106,10,11:57:00,16:25:12,6.33,8.03,3.496765221
237,23,Other,4th Year,6.1,9.9,1.2,2,107,2,5:36:36,19:25:12,7.23,10.1,4.018164018
238,23,Female,2nd Year,7.7,5.1,3.4,3,32,6,15:37:12,20:00:36,7.83,8.54,3.203861476
239,20,Other,1st Year,5.2,8,1.6,4,80,2,15:27:00,9:56:24,7.65,9.03,1.843681997
240,25,Other,2nd Year,4.6,1.1,1.8,0,111,3,21:55:48,11:31:48,8.23,10.42,2.225084968
241,19,Female,3rd Year,5.8,7.5,1.5,3,74,4,18:20:24,16:55:48,8.54,10,2.772933244
242,24,Other,3rd Year,5.4,5.4,2,0,76,5,3:37:12,34:48.0,8.26,10.22,1.826883821
243,21,Male,4th Year,5.5,7,3.3,5,49,9,12:43:12,12:09:36,5.08,7.55,2.50853538
244,18,Male,1st Year,5.2,2,2.6,1,10,4,1:19:48,18:06:00,7.94,7.28,2.271646846
245,24,Other,3rd Year,4.2,8.8,1.6,3,94,9,13:41:24,8:57:36,5.83,10.57,1.766452045
